region,site_nom,question,reponse_attendue
Centre-Val de Loire,Eglise Notre-Dame,Localisation de 'Eglise Notre-Dame' en Centre-Val de Loire : dans quelle commune se trouve-t-il précisément ?,La Celle-Guenand
Centre-Val de Loire,Eglise Notre-Dame,"Concernant le patrimoine de la région Centre-Val de Loire, pouvez-vous nommer la ville où est situé le site 'Eglise Notre-Dame' ?",La Celle-Guenand
Centre-Val de Loire,Eglise Notre-Dame,Où est situé 'Eglise Notre-Dame' (Centre-Val de Loire) ? Donnez uniquement le nom de la commune.,La Celle-Guenand
Île-de-France,Borne n° 12 ornée d'un bonnet phrygien,Le site 'Borne n° 12 ornée d'un bonnet phrygien' est-il un musée ou un monument historique ?,Monument historique
Île-de-France,Borne n° 12 ornée d'un bonnet phrygien,Quelle est la classification officielle de 'Borne n° 12 ornée d'un bonnet phrygien' en Île-de-France ?,Monument historique
Île-de-France,Borne n° 12 ornée d'un bonnet phrygien,'Borne n° 12 ornée d'un bonnet phrygien' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
Martinique,"immeuble La Nationale, actuellement immeuble de bureaux GAN","Quel est le numéro de département pour le site 'immeuble La Nationale, actuellement immeuble de bureaux GAN' en Martinique ?",972
Martinique,"immeuble La Nationale, actuellement immeuble de bureaux GAN","A quel code départemental est rattaché le lieu 'immeuble La Nationale, actuellement immeuble de bureaux GAN' ?",972
Martinique,"immeuble La Nationale, actuellement immeuble de bureaux GAN","Donnez le numéro de département correspondant à : immeuble La Nationale, actuellement immeuble de bureaux GAN (Martinique).",972
Provence-Alpes-Côte d'Azur,Oratoire de Sainte-Mitre,Le site 'Oratoire de Sainte-Mitre' est-il un musée ou un monument historique ?,Monument historique
Provence-Alpes-Côte d'Azur,Oratoire de Sainte-Mitre,Quelle est la classification officielle de 'Oratoire de Sainte-Mitre' en Provence-Alpes-Côte d'Azur ?,Monument historique
Provence-Alpes-Côte d'Azur,Oratoire de Sainte-Mitre,'Oratoire de Sainte-Mitre' : s'agit-il d'un monument historique ? Répondez par oui/non ou le type.,Monument historique
