region,question,attendu,modele,reponse_ia,tokens,temps,score_smart
Inconnue,"Je veux visiter la France, que me conseilles-tu de voir ?",N/A,mistral,"Il y a beaucoup à voir en France ! Voici une liste de lieux qui sont connus pour leur beauté et leur intérêt culturel :

1. Paris : La Tour Eiffel, le Louvre, Notre-Dame, la basilique du Sacré-Cœur à Montmartre, les Jardins du Luxembourg...
2. Provence : Les Côtes de Provence avec leurs vignobles et son climat méditerranéen, Avignon, Arles, Saint-Rémy-de-Provence, Aix-en-Provence...
3. Normandie : Le mont Saint-Michel, les Dunes du Pilat, la ville de Rouen avec ses jolies rues et son cathédrale, Bayeux avec ses tapisseries de Bayeux...
4. Bordeaux : La ville de Bordeaux avec ses grands hôtels particuliers, le quartier Saint-Michel, les vignobles de la région...
5. Riviera française : Cannes, Nice, Monaco, Antibes, Saint-Tropez...
6. Le Loiret et le Centre-Val de Loire : Château de Chambord, Château de Chenonceau, Château de Cheverny, Amboise...
7. La Bretagne : Saint-Malo, Dinan, Mont-Saint-Michel (quoique cette dernière soit sur la Normandie), Le Mont-Saint-Benoît, Rennes, Vannes, Quimper...
8. Alsace et Lorraine : Strasbourg, Colmar, Mulhouse, le Haut-Koenisberg...
9. La Franche-Comté : Dijon avec son château ducal, Besançon...
10. Le Massif central : Auvergne, les Pyrénées...",425,16.75,0
Inconnue,"Je veux visiter la France, que me conseilles-tu de voir ?",N/A,llama3,"La France ! Un pays riche en histoire, culture et beauté naturelle. Il y a tellement de choses à voir et à faire en France, mais voici quelques-unes des plus grandes attractions et régions à visiter :

**Paris**, la capitale : La Tour Eiffel, le Louvre, Notre-Dame, l'Arc de Triomphe, les Champs-Élysées...

**Région Île-de-France** : Versailles (Château de Versailles), Fontainebleau (Château de Fontainebleau), Saint-Germain-en-Laye

**Normandie** : Honfleur, Deauville, Rouen (Cathédrale Notre-Dame de Rouen), Bayeux (Tapisserie de Bayeux)

**Provence** : Avignon (Palais des Papes), Arles (Théâtre Antique d'Arles), Les Baux-de-Provence, Saint-Tropez

**Côte d'Azur** : Nice (Promenade des Anglais), Monaco, Cannes, Villefranche-sur-Mer

**Loire Valley** : Chambord, Chenonceau, Amboise, Blois (Châteaux de la Loire)

**Pyrénées-Orientales** : Collioure, Perpignan, Céret

**Vosges** : Gérardmer, Remiremont, Épinal

**Brittany** : Rennes (Cathédrale Saint-Pierre), Quimper, Dinan, Carnac (Alignements de Carnac)

**Alsace** : Strasbourg (Cathédrale Notre-Dame de Strasbourg), Colmar, Mulhouse

**Savoie** : Chambéry, Annecy (Ville ancienne d'Annecy), Les Houches (Chamonix-Mont-Blanc)

Il y a bien sûr beaucoup plus à découvrir en France, mais ces régions et attractions vous donneront un bon aperçu de la richesse culturelle et historique du pays.

Bon voyage et bon séjour en France !",453,22.62,0
Inconnue,"Je veux visiter la France, que me conseilles-tu de voir ?",N/A,phi3,"Bien s'agir d'un voyage culturel en France implique de viser plusieurs couches de ce pays. Voici des recommandations qui couvrent les aspects historiques, artistiques et gastronomiques du patrimoine français :

1. Visitez le Vieux-Paris pour découvrir la vieille ville avec ses monuments emblématiques comme Notre-Dame, l'Hôtel de Ville, et Montmartre qui a été un haut lieu de la culture française notamment grâce à des artistes tels que Picasso et Man Ray.
   
2. Explorez les musées français prestigieux : le Louvre pour sa collection d'art classique inégalée, Musée d'Orsay pour l'art impressionniste et postimpressionniste, ainsi que le Centre Pompidou pour la Beaux-Arts moderne et contemporain.
   
3. Profitez des monuments historiques de Provence comme les châteaux d'Andonville ou encore du Palais des Papes à Avignon pour admirer l endroits majeurs de la Renaissance française.
   
4. La Bretagne doit être vue en bateau sur ses nombreux ports et îles, mais aussi visiter sa belle architecture rurale typique au bord du littoral méditerranéen ou atlantique. 
   
5. Aux Pays-de-Caux pour le calme rural charmant de Normandie qui offre un contraste mélodieux avec Paris et ses grands monuments, mais aussi des activités comme la pêche en mer au sein du célèbre port de Houlgate. 
   
6. Si vous appréciez les vignobles : dégustez une sélection d'appellations réputées telles que Bordeaux ou Champagne, et visitez leur terroir pour mieux comprendre la richesse viticole de la France. 
   
7. Ne passez pas à côté des festivals culturels comme les Nuits Languedoises dans le Midi provençal qui vous permettront d'apprécier l’ambiance festive française, ou encore Paris en lumière pour découvrir une ville vivante et colorée pendant la période de Pâques.
   
8. Pour s'immerger plus profondément dans la gastronomie : participez à un atelier culinaire français où vous pouvez apprendre les bases du travail du fromage, comme par exemple au Mont-Bleus ou encore visitez le marché d'Aligot de Lons Causses pour goûter des plats régionaux locaux.
   
Ce circuit mélangerait différentes régions françaises et offrirait un aperçu varié du patrimoine, culturellement et gastronomiquement, sans oublier d'inclure quelques moments de détente dans la Vallée du Lot en Auvergne pour profiter des paysages pittoresques.

Toutefois, il est important de noter que chaque région possède son propre caractère un peu différent et vous pouvez ajuster votre itinéraire selon vos préférences personnelles ou les événements saisonniers actuels. N'oubliez pas non plus d’assurer la planification pour visiter certains sites célèbres qui peuvent nécessiter une réservation en avance, comme le Château de Versailles pendant Pâques et la Fête des Baigneuses à Biarritz au mois de juillet-août.",785,15.73,0
Inconnue,"Je veux visiter la France, que me conseilles-tu de voir ?",N/A,smollm2:1.7b,"Bien sûr! Voici quelques choses importantes à prendre en compte lorsqu'on voyage dans la France:

1. Mont Saint-Michel: C'est un monastère de clocher sur une côteouche, une archipelforme unique avec des rivières et dunes.
2. Paris: C'est le ville américaine du monde! Il y a beaucoup à voir en ce coin de lumière.
3. Lyon: C'est l'un des centres commercial-culturels la plus populaires au sud-ouest de la France et connu pour son histoire d'émergence et son enthousiasme du marché aux marchands.
4. Nice: Environ 15 minutes de la ville française, c'est une forêt ensoleillée et douce. La vue sur le nord-ouest est magnifique avec le Mont Saint-Michel à son tournant.
5. The French Riviera: C'est une région bien connue pour ses beautés de la nuit, des bateaux et d'une histoire fascinante.
6. Annecy: C'est un petit village charmant dans le centre-haut de la France avec beaucoup à voir.
7. The Loire Valley: C'est une région bien connue pour ses châteaux et son histoire d'histoires.
8. Bordeaux: C'est un vrai paris dans la mer! Avec son environnement de bordure, c'est à partir de là qu'on peut découvrir autant de beauté et de charme que sur le paysage.
9. Toulouse: C'est un vrai centre commercial et culturel bien connu en France avec son environnement et sa histoire d'histoires.
10. Fontainebleau: Il y a une forêt de grandes bâtisseurs et du château de Fontainebleau qui est considéré comme un museo-monument historique et archéologique à partir de là on peut découvrir beaucoup d'histoire.
11. Nantes: C'est le ville française la plus basée en Mer Rouge! Il y a une charme fascinante dans les ruisseaux, les parcs et les maisons-lattes.
12. Rennes: Ce petit universitaire est décisif pour visiter le golfe du Maine et l'île de Ré.

À présent que vous avez connu! Voici une autre partie qui peut vous intéresser :

13. Le Parc National de Haute-Vendée: Ça est une forêt forestère et un peu dangereuse, mais très remarquable et sauvage.
14. Le Parc National du Château d'Orange: C'est là où il y a des chateaux anciens et les rois romains ont vécu et laisse un peu de leur monde à nous explorer.
15. Le Parc National de Saint-Guilhem-le-Désert: C'est bien loin d'ici à côté de la France mais il y a des sites sacrés et de grands châteaux à explorer dans ce paysage ensoleillé et intéressant.

Voici un autre plan pour une série de vagues sur les rivières:

1. The Dordogne River: Il y a des chateaux, des parcs béninés et des troupeaus à explorer dans ce paysage riche en beauté naturelle.
2. The Garonne River: C'est une belle rivière qui couvre de nombreux sites historiques, mais il y a également une forêt forestère qui est très intéressante à explorer.
3. The Loir-et-Cher: Il y a des vallées et des parcs béninés dont les rivières sont belles. C'est en ce lieu qu'on peut découvrir beaucoup de beauté naturelle dans la France.
4. The Dordogne: C'est un paysage riche en charme et d'histoire avec des sites sacrés, du gouverneur romain et bien d'autres!
5. The Sègre: Il y a des vallées et des parcs béninés dont les rivières sont belles et intéressantes à explorer. C'est en ce lieu qu'on peut découvrir beaucoup de beauté naturelle dans la France.
6. The Lot River: Il y a des sites sacrés, du gouverneur romain, et du parc béniné dont le paysage est intéressant à explorer en ce lieu.
7. The Dordogne-Haut-Vendée River: C'est une belle rivière qui couvre un peu de la forêt forestère avec des sites sacrés, du parc béniné et bien d'autres!
8. The Dordogne-Breauté River: Il y a des vallées et des moulins dont les rivières sont belles et intéressantes à explorer. C'est en ce lieu qu'on peut découvrir beaucoup de beauté naturelle dans la France.
9. The Dordogne-Charente River: C'est une belle rivière qui couvre une forêt forestère et des sites sacrés, du parc béniné et bien d'autres!

Et vous avez de bonnes mais également de mauvaises voitures à choisir. Parfois les jeunes sont en train de foutre leur voiture pour une rue que les âges ont déjà prouvé et la voie est très difficile...

Donc, vous avez davantage d'options sur ce qui peut être visité en France. N'oubliez pas à prendre des billets en fonction de l'endroit où vous voulez passer votre temps et à choisir une voiture à porter si c'est un dossier pour vous. Bon voyage !",1530,20.67,0
Inconnue,"Je veux visiter la France, que me conseilles-tu de voir ?",N/A,llama3.2:1b,"La France ! Un pays fascinant avec une riche histoire, une culture enrichissante et des paysages à couper le souffle. Voici quelques-unes des meilleures choses à faire lors de votre visite :

**Sites historiques**

* La Tour Eiffel : un symbole de la ville et du pays
* Le Louvre : un musée qui abrite des œuvres d'art les plus célèbres de l'humanité, telles que la Vénus de Milo
* Notre-Dame de Paris : une église historique et artistique, mais également le lieu de nombreux événements importants du passé
* Le Château de Versailles : un palais royal aux jardins magnifiques

**Paysages naturels**

* La Côte d'Azur : les plages de la Mer Méditerranée, des montagnes et des forêts sont à découvrir
* Les Pyrénées : une chaîne montagnue imprenable qui offre des paysages pittoresques et des activités alpines
* La Bretagne : des rochers escarpés, des plages de sable noir et des villes historiques comme Rennes et Saint-Brieuc
* Les Landes : un parc national aux dunes de sable blanc et à des paysages uniques

**Villes et quartiers**

* Paris : la capitale est célèbre pour ses rues étroites, son architecture grecque-romaine et ses institutions telles que le Musée d'Orsay
* Lyon : une ville gastronomique et historique avec des monuments tels que les Moulins de l'Oubliette et la Basilique Notre-Dame de Fourvière
* Bordeaux : une ville historique avec des quartiers pittoresques, des vignobles et des musées comme le Musée du Quai de la Tournelle

**Activités**

* La chasse et la pêche : les régions française sont riche en faune et flore sauvages
* L'ecotourisme : découvrir les paysages naturels et les activités de plein air tels que le ski, le randonnage ou l'escalade
* Le vin : visiter des vignobles et des musées comme la Château Lafite Rothschild pour découvrir l'histoire du vin

**Festivals et événements**

* La Tourée de Nîmes : un festival de théâtre antique qui a lieu chaque année en juillet
* Le Festival de Cannes : une célébration des films et des arts visuels qui a lieu tous les ans
* La Fête des Lumières de Lyon : une fête de lumière qui a lieu dans les rues de la ville pour célébrer le printemps

Ces sont juste quelques exemples des nombreuses choses à voir et faire lors de votre visite en France. N'hésitez pas à explorer et à découvrir de nouveaux paysages, d'histoires et de cultureaux !",658,14.4,0
Inconnue,"Je veux visiter la France, que me conseilles-tu de voir ?",N/A,qwen2.5:1.5b,"Visiter la France est une expérience intense qui offre un large éventail d'activités et de sites à découvrir. Voici quelques suggestions pour votre visite :

1. Paris : Capitalise, le paysage ne saurait manquer !

   * Le Louvre
   * Les Jardins du Luxembourg
   * Notre-Dame (toujours amélioré)
   * Les Ponts Neufs et Montmartre

2. La Côte d'Azur :
   
   * Monaco : Domaine de Conti, Casino de Monte-Carlo
   * Cannes : Festival International du Film, Palais des Festivals
   * Nice : Plage, Saint-Trophime, Promenade de la Serre

3. Pays de Loire :
   
   * Clermont-Ferrand : Site historique pittoresque, Jardin des Sciences (spectacle)
   * Nîmes : Bains Thermes, Puits du Caïd
   * Château d'Oléron

4. Pays de la Loire :

   * Saint-Malo : Côte Atlantique, Plage de Saint-Lô
   * Le Mans : Palais des Sports, Pont Louis-Houzard
   * Angoulême : Théâtre Royal Jean-Luc Godbout

5. Auvergne-Rhône-Alpes :

   * Lyon : Croix Rousse, Église Notre-Dame de la Salette (à visiter en septembre)
   * Annecy : Lac Léman, Domaine des Papes
   * Bourgogne-Franche-Comté :

     * Dijon : Château d'If, Musée du Louvre

6. Centre-Val de Loire :

   * Orléans : Château Royal à Orléans, Théâtre National
   * Tours : Église Saint-Sulpice, Ponts du Carrousel

7. Nouvelle-Aquitaine :

   * Bordeaux : Basilique Notre-Dame de la Grosse Désertée (à visiter en mai)
   * Périgueux : Bosphore, Site d'Anjou
   * La Rochelle : Fort Boyard, Domaine des Anges

8. Poitou-Charentes :

   * Carcassonne : Pontus, Église Notre-Dame de la Tour-Royale
   * Vienne : Palais du Roi-François Ier, Musée d'Art Moderne

9. Bourgogne Franche-Comté :

   * Besançon : Château Royal, Domaine des Grands Cailloux
   * Dijon : Basilique Notre-Dame, Ponts de l'Évêque
   * Annecy: Lac d'Annecy, Palais des Arts

10. Auvergne :

    * Clermont-Ferrand : Jardin du Livre, Domaine des Cévennes

N'oubliez pas que la France offre une variété de paysages et traditions locales fascinantes, donc n'hésitez pas à explorer les régions éloignées pour découvrir des aspects uniques de l'économie française.",683,11.13,0
Inconnue,Quels sont les lieux incontournables en France ?,N/A,mistral,"Il y a de nombreux lieux remarquables à découvrir en France, mais voici quelques-uns des sites les plus emblématiques que je suggérerais :

1. Paris : La ville la plus célèbre de France avec ses iconiques monuments tels que la Tour Eiffel, le Louvre et Notre-Dame de Paris.

2. Le Mont-Saint-Michel : Un des sites historiques les plus impressionnants de France. Cet îlot rocheux abrite un magnifique château médiéval surplombant la mer.

3. La Riviera française (Côte d'Azur) : Avec ses villes glamour et ses plages, la Côte d'Azur est une destination incontournable pour tous les amoureux de la vie de luxe. Les villes de Cannes, Nice et Saint-Tropez sont particulièrement populaires.

4. La Normandie : Région connue notamment pour ses magnifiques sites historiques tels que le Mont-Saint-Michel, mais également pour ses châteaux comme celui de Château-Gaillard ou le Château de la mer de William le Conquérant à Hastings.

5. Le Luberon (Provence) : Région célèbre pour son paysage pittoresque et ses châteaux, la vallée du Luberon offre des villes telles que Gordes, Roussillon, Lourmarin ou encore Bonnieux.

6. Le Massif central : Région de montagnes où se trouvent les volcans de Auvergne et les gorges du Tarn. Il est également possible d'y pratiquer des activités de pleine nature telles que la randonnée ou le VTT.

7. Bordeaux : Cette ville a été classée Patrimoine mondial de l'UNESCO en 2007, grâce à son architecture architecturale remarquable et ses nombreux ponts sur la Garonne. La ville est également connue pour ses vins de qualité.

8. Les Châteaux de la Loire : Cette région a une concentration très importante de châteaux médiévaux. Certains des plus célèbres sont le château d'Amboise, le château de Blois ou le château de Chambord.",553,20.41,0
Inconnue,Quels sont les lieux incontournables en France ?,N/A,llama3,"La France, terre de liberté, d'histoire et de culture ! Voici quelques-uns des lieux incontournables à visiter en France :

**Monuments historiques**

1. La Tour Eiffel (Paris) : icône de la France et l'un des symboles les plus reconnus au monde.
2. Le Louvre (Paris) : musée d'art le plus célèbre du monde, avec la Joconde (La Vérité).
3. La cathédrale Notre-Dame de Paris (Paris) : monument chrétien emblématique et patrimoine culturel.
4. Le château de Versailles (Versailles) : résidence royale magnifique, inscrit au patrimoine mondial de l'UNESCO.

**Villes historiques**

1. Aix-en-Provence (Provence-Alpes-Côte d'Azur) : ville charmante avec ses rues étroites et ses monuments historiques.
2. Avignon (Occitanie) : ville médiévale célèbre pour le Palais des Papes, patrimoine mondial de l'UNESCO.
3. Arles (Provence-Alpes-Côte d'Azur) : ville antique avec des vestiges romains et une richesse architecturale.
4. Rouen (Normandie) : ville médiévale avec un patrimoine architectural varié.

**Paysages naturels**

1. La côte d'azur (Provence-Alpes-Côte d'Azur) : plages de rêve, villages méditerranéens et montagnes escarpées.
2. Le Mont-Blanc (Hautes-Pyrénées, Savoie) : sommet des Alpes, point culminant de l'Europe.
3. La Normandie (Normandie) : région verdoyante avec ses plages, golfes et monuments historiques.
4. Le Massif central (Auvergne-Rhône-Alpes) : région volcanique avec ses lacs, gorges et montagnes.

**Îles**

1. La Réunion (Réunion) : île volcanique située dans le sud-ouest de l'océan Indien.
2. La Corse (Corse) : île méditerranéenne avec des plages, des villages historiques et une culture unique.
3. Les Îles de la Seine (Normandie) : archipel du Cotentin avec des îlots et des plages.

Ces quelques exemples ne couvrent pas tout le pays, mais ils offrent un aperçu des richesses patrimoniales et naturelles que la France a à offrir.",588,24.32,0
Inconnue,Quels sont les lieux incontournables en France ?,N/A,phi3,"En France, il y a de nombreux endroits qui se distinguent comme étant des incontournables pour tout visiteur. Voici quelques-uns :

1. Mont Saint-Michel et ses abords (en Normandie) est un site inscrit au patrimoine mondial de l'UNESCO depuis 1979, connu pour son architecture médiévale fascinante et sa beauté naturelle pittoresque. C'est aussi une cité fortifiée qui attire autant des touristes que des historiens.

2. La Tour Eiffel à Paris est sans aucun doute l'une des structures les plus reconnaissables au monde. Construite pour l'exposition universelle de 1889, elle représente le génie créatif et la beauté unique qui caractérisent souvent la France.

3. Château de Versailles est un monument historique majeur situé à quelques kilomètres d'à peine au nord-ouest de Paris. C'était autrefois la résidence principale des rois français jusqu'au XVIIIe siècle et son immense jardin, avec ses fontaines et les pavillons en pierre blanche, témoigne du style architectural classique que l'on retrouve également dans d'autres villes de France.

4. Le Château de Chambord (en la région Centre-Val de Loire) est un exemple exceptionnellement grand et élaboré de la Renaissance italienne en France, construit au XVIe siècle pour François Ier comme résidence secondaire près de Fontainebleau. Il possède une forme architecturale unique avec ses quatre tours d'angle pointus qui rappellent les châteaux médiévaux.

5. La Cité Interdite à Pékin est un magnifique pont en arc couvert et la principale attraction touristique de Chine depuis sa construction par Qianlong, le quatorzième empereur Ming, dans les années 1406-1424. Bien que ce ne soit pas situé en France, il s'agit d'un endroit incontournable pour découvrir l'histoire de la Chine et sa culture extraordinaire à travers ses bâtiments emblématiques uniques comme le palais impérial du début du 16e siècle.

6. Notre-Dame cathédrale, située dans Paris, est une magnifique représentation gothique qui a été construite au XIVe siècle et dédiée à la Vierge Marie durant le Moyen Âge. Malgré l'incendie en avril 2019 endommageant sa voûte, elle reste un des lieux les plus emblématiques de Paris avec ses gargouillements sonores quand elles sont chantées ensemble par plusieurs cloches du clocher-porche surmonté d’une flèche élancée.

7. Le Pont Neuf (en la région Île-de-France) est l'un des plus anciens ponts pérennes de Paris, construit en 1607 et reliant le Vieux Louvre au Palais Royal à côté duquel il fut conçu pour faciliter les relations entre le roi Louis XIII et sa couronne. Le Pont Neuf est souvent décrit comme étant un des premiers exemples d’architecture moderne de l'époque baroque, avec ses arcs en pierre blanche ornés par Michelangelo Palloni (ou Palotti), son style gothique français continuant à inspirer même aujourd'01.

8. Le Vatican Museums et la basilique Saint-Pierre sont des incontournables de l’artiste et les lieux où se trouve le tombeau du pape Jean XXIII, qui fut enterré dans sa chapelle privée derrière son autoportrait en buste. L'esplanade devant la basilique est un lieu de pèlerinage pour ceux qui cherchent à trouver l’authenticité spirituelle et culturelle du pays où ils vivent ou voudraient-ils élever une famille, tout particulièrement lorsque le cœur se dirige vers les œuvres impressionnantes de Michel-Ange.

Ces lieux sont des incontournables en France car ce qu'ils représentent est souvent un reflet profond et intemporel du patrimoine artistique, historique et culturel français qui fait la spécificité même d’un pays dont l'héritage a inspiré tant les célébrités de théâtre que celles des arts plastiques tout au long de leur histoire.",1024,17.77,0
Inconnue,Quels sont les lieux incontournables en France ?,N/A,smollm2:1.7b,"D'accord, je serais ravi de vous donner quelques sites qui sont incontournables à l'époque actuelle:

1. Eiffel Tower (Paris): C'est l'une des plus célèbres monuments du monde. Lorsqu'on parle d'Eiffel, il y a un gros chiffre de 304 mètres à côté !
2. Château de Versailles (Île-de-France): C'est l'ancien hameau du roi Louis XIV qui est la plus grande maison d'été au monde et avec une architecture en terre cuite parfaite.
3. Mont Saint-Michel (Normandy): Un monastère bénit de la mer, qui est là pourtant quelques centaines d'années à venir.
4. La Tour Eiffel (Paris): Cette tour complet est un monument historique et architectural incomparable du 19e siècle.
5. Grand Palais (Paris): C'est une maison de congrès qui a l'air d'une grande galerie à deux séries d'endroits pour assister aux conférences, des expositions et autres manifestations.
6. Notre-Dame Cathedral (Paris): Une de ces monuments sacrés est également un symbole de l'histoire de la France.
7. Château de Fontainebleau (Île-de-France): Ce sérieux enceinte et gorgue a été construit par le roi de France de fonction d'un lieu de chasse.
8. Lumière du Canal Saint-Martin (Paris): Cette lumière, qui est une lumière électrique faible mais très vive dans la région de Paris, a un impact sur les centres commerciaux et sociales.
9. Jardin d'Acclimatation de Belleville (Paris): Ce parc a été construit à partir du marché d'acclimatation de 1860 qui est resté là depuis. Il a un charme particulier et nous revient la période d'aventure en plein air avant les voyageurs jetés dans les bateaux à gaz !
10. Château de la Rochefort (Bretagne): C'est un château qui a servi sous le Royaume-Uni des rois français de son pays de bord. Il y a une nouvelle entreprise d'exposition que j'espère partager avec vous !",625,10.62,0
